Organization,Language,English Sentences,French Sentences,English (%),French (%)
Balarama Holness,bilingual,65,124,34.39153439153439,65.60846560846561
Dexter Xurukulasuriya,bilingual,148,86,63.24786324786324,36.75213675213676
Thierry Lindor,bilingual,116,135,46.21513944223107,53.78486055776892
Conseil national des musulmans canadiens,bilingual,79,71,52.666666666666664,47.333333333333336
James Oscar,bilingual,36,69,34.285714285714285,65.71428571428571
,,,Overall Average,47.79332615715823,52.20667384284177
