Word,Frequency
montréal,2922
personnes,2541
ville,2054
discrimination,1468
racisme,1368
femmes,1320
jeunes,1049
droits,941
personne,937
police,891
profilage,884
diversité,847
rapport,830
québec,830
commission,809
racial,775
population,749
consultation,731
autochtones,697
racisées,693
