Word,Frequency
ville,76
people,74
police,62
montreal,59
montréal,58
city,53
quebec,27
report,26
diversité,24
politique,24
commission,23
gold,22
entrepreneur,21
black,20
culturelle,20
culture,19
diversity,19
hate,19
young,18
question,18
