Word,Frequency
personnes,536
montréal,508
discrimination,475
ville,392
racisme,327
personne,243
droits,241
jeunes,214
québec,210
rapport,204
femmes,200
emploi,199
police,198
services,177
autochtones,174
travail,166
systémique,165
gens,161
plusieurs,152
tous,150
