Word,Frequency
discrimination,2170
racisme,1461
racial,1408
race,341
raciste,208
couleur,126
genre,145
femme,1564
femme trans,3
féministe,75
lgbt,137
lgbtq,108
gai,180
lesbienne,8
queer,11
handicap,627
accessibilité,253
accessible,227
religion,96
islam,86
musulman,77
